# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
24

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,FuselageGeom,0,RGIGINXZKO,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,36,17
# x,y,z,u,w
3.744475442594891179e-01, 1.727513081276483009e-01, 1.775627787187332995e-01, 1.399999999999999911e+00, 3.250000000000000000e+00
3.744475442594891179e-01, 3.151448056800039144e-01, 8.186480568000395475e-02, 1.399999999999999911e+00, 3.500000000000000000e+00
3.744475442594891179e-01, 4.108427787187332592e-01, -6.052869187235167259e-02, 1.399999999999999911e+00, 3.750000000000000000e+00
3.744475442594891734e-01, 4.457498381500184514e-01, -2.332800000000000151e-01, 1.399999999999999911e+00, 4.000000000000000000e+00
6.096316961729928430e-01, 5.970825251532336786e-01, -1.267199999999999438e-01, 1.600000000000000089e+00, 0.000000000000000000e+00
6.096316961729928430e-01, 5.502266754418955186e-01, -3.585815874719180396e-01, 1.600000000000000089e+00, 2.500000000000000000e-01
6.096316961729929540e-01, 4.221275682886163616e-01, -5.488475682886162499e-01, 1.600000000000000089e+00, 5.000000000000000000e-01
6.096316961729928430e-01, 2.318615874719181513e-01, -6.769466754418955734e-01, 1.600000000000000089e+00, 7.500000000000000000e-01
6.096316961729928430e-01, -2.131628207280299678e-17, -7.238025251532336224e-01, 1.600000000000000089e+00, 1.000000000000000000e+00
6.096316961729929540e-01, -2.318615874719182068e-01, -6.769466754418955734e-01, 1.600000000000000089e+00, 1.250000000000000000e+00
6.096316961729930650e-01, -4.221275682886164171e-01, -5.488475682886162499e-01, 1.600000000000000089e+00, 1.500000000000000000e+00
6.096316961729929540e-01, -5.502266754418955186e-01, -3.585815874719181506e-01, 1.600000000000000089e+00, 1.750000000000000000e+00
6.096316961729928430e-01, -5.970825251532336786e-01, -1.267199999999999438e-01, 1.600000000000000089e+00, 2.000000000000000000e+00
6.096316961729928430e-01, -5.502266754418955186e-01, 1.051415874719181798e-01, 1.600000000000000089e+00, 2.250000000000000000e+00
6.096316961729928430e-01, -4.221275682886164171e-01, 2.954075682886164178e-01, 1.600000000000000089e+00, 2.500000000000000000e+00
6.096316961729928430e-01, -2.318615874719182068e-01, 4.235066754418956858e-01, 1.600000000000000089e+00, 2.750000000000000000e+00
6.096316961729928430e-01, -3.141346831781495364e-17, 4.703625251532337348e-01, 1.600000000000000089e+00, 3.000000000000000000e+00
6.096316961729928430e-01, 2.318615874719181513e-01, 4.235066754418956858e-01, 1.600000000000000089e+00, 3.250000000000000000e+00
6.096316961729929540e-01, 4.221275682886163061e-01, 2.954075682886164178e-01, 1.600000000000000089e+00, 3.500000000000000000e+00
6.096316961729928430e-01, 5.502266754418955186e-01, 1.051415874719181937e-01, 1.600000000000000089e+00, 3.750000000000000000e+00
6.096316961729928430e-01, 5.970825251532336786e-01, -1.267199999999999438e-01, 1.600000000000000089e+00, 4.000000000000000000e+00
8.551024572828894721e-01, 7.073468361155036410e-01, -3.743999999999998718e-02, 1.800000000000000044e+00, 0.000000000000000000e+00
8.551024572828894721e-01, 6.517555381485912180e-01, -3.125087314665063731e-01, 1.800000000000000044e+00, 2.500000000000000000e-01
8.551024572828894721e-01, 5.000747561257965490e-01, -5.375147561257964668e-01, 1.800000000000000044e+00, 5.000000000000000000e-01
8.551024572828894721e-01, 2.750687314665063998e-01, -6.891955381485911358e-01, 1.800000000000000044e+00, 7.500000000000000000e-01
8.551024572828894721e-01, -7.105427357600998925e-18, -7.447868361155036698e-01, 1.800000000000000044e+00, 1.000000000000000000e+00
8.551024572828894721e-01, -2.750687314665064553e-01, -6.891955381485911358e-01, 1.800000000000000044e+00, 1.250000000000000000e+00
8.551024572828895831e-01, -5.000747561257965490e-01, -5.375147561257964668e-01, 1.800000000000000044e+00, 1.500000000000000000e+00
8.551024572828894721e-01, -6.517555381485912180e-01, -3.125087314665063731e-01, 1.800000000000000044e+00, 1.750000000000000000e+00
8.551024572828894721e-01, -7.073468361155036410e-01, -3.743999999999998718e-02, 1.800000000000000044e+00, 2.000000000000000000e+00
8.551024572828894721e-01, -6.517555381485912180e-01, 2.376287314665064265e-01, 1.800000000000000044e+00, 2.250000000000000000e+00
8.551024572828894721e-01, -5.000747561257965490e-01, 4.626347561257964092e-01, 1.800000000000000044e+00, 2.500000000000000000e+00
8.551024572828894721e-01, -2.750687314665064553e-01, 6.143155381485911892e-01, 1.800000000000000044e+00, 2.750000000000000000e+00
8.551024572828894721e-01, -1.047115610593831583e-17, 6.699068361155037232e-01, 1.800000000000000044e+00, 3.000000000000000000e+00
8.551024572828894721e-01, 2.750687314665063998e-01, 6.143155381485911892e-01, 1.800000000000000044e+00, 3.250000000000000000e+00
8.551024572828894721e-01, 5.000747561257965490e-01, 4.626347561257964092e-01, 1.800000000000000044e+00, 3.500000000000000000e+00
8.551024572828894721e-01, 6.517555381485912180e-01, 2.376287314665064265e-01, 1.800000000000000044e+00, 3.750000000000000000e+00
8.551024572828894721e-01, 7.073468361155036410e-01, -3.743999999999998718e-02, 1.800000000000000044e+00, 4.000000000000000000e+00
1.094594594594594517e+00, 7.500000000000000000e-01, 0.000000000000000000e+00, 2.000000000000000000e+00, 0.000000000000000000e+00
1.094594594594594295e+00, 6.910222877395499896e-01, -2.918168632186498579e-01, 2.000000000000000000e+00, 2.500000000000000000e-01
1.094594594594594295e+00, 5.302261006387998243e-01, -5.302261006387998243e-01, 2.000000000000000000e+00, 5.000000000000000000e-01
1.094594594594594295e+00, 2.918168632186498579e-01, -6.910222877395499896e-01, 2.000000000000000000e+00, 7.500000000000000000e-01
1.094594594594594517e+00, 0.000000000000000000e+00, -7.500000000000000000e-01, 2.000000000000000000e+00, 1.000000000000000000e+00
1.094594594594594295e+00, -2.918168632186499134e-01, -6.910222877395499896e-01, 2.000000000000000000e+00, 1.250000000000000000e+00
1.094594594594594295e+00, -5.302261006387999354e-01, -5.302261006387998243e-01, 2.000000000000000000e+00, 1.500000000000000000e+00
1.094594594594594295e+00, -6.910222877395499896e-01, -2.918168632186498579e-01, 2.000000000000000000e+00, 1.750000000000000000e+00
1.094594594594594517e+00, -7.500000000000000000e-01, 0.000000000000000000e+00, 2.000000000000000000e+00, 2.000000000000000000e+00
1.094594594594594517e+00, -6.910222877395499896e-01, 2.918168632186498579e-01, 2.000000000000000000e+00, 2.250000000000000000e+00
1.094594594594594517e+00, -5.302261006387999354e-01, 5.302261006387998243e-01, 2.000000000000000000e+00, 2.500000000000000000e+00
1.094594594594594517e+00, -2.918168632186499134e-01, 6.910222877395499896e-01, 2.000000000000000000e+00, 2.750000000000000000e+00
1.094594594594594517e+00, 0.000000000000000000e+00, 7.500000000000000000e-01, 2.000000000000000000e+00, 3.000000000000000000e+00
1.094594594594594295e+00, 2.918168632186498579e-01, 6.910222877395499896e-01, 2.000000000000000000e+00, 3.250000000000000000e+00
1.094594594594594295e+00, 5.302261006387998243e-01, 5.302261006387998243e-01, 2.000000000000000000e+00, 3.500000000000000000e+00
1.094594594594594295e+00, 6.910222877395499896e-01, 2.918168632186498579e-01, 2.000000000000000000e+00, 3.750000000000000000e+00
1.094594594594594517e+00, 7.500000000000000000e-01, 0.000000000000000000e+00, 2.000000000000000000e+00, 4.000000000000000000e+00
1.338648648648648631e+00, 7.500000000000000000e-01, 0.000000000000000000e+00, 2.200000000000000178e+00, 0.000000000000000000e+00
1.338648648648648631e+00, 6.910222877395499896e-01, -2.918168632186498579e-01, 2.200000000000000178e+00, 2.500000000000000000e-01
1.338648648648648631e+00, 5.302261006387998243e-01, -5.302261006387998243e-01, 2.200000000000000178e+00, 5.000000000000000000e-01
1.338648648648648631e+00, 2.918168632186498579e-01, -6.910222877395499896e-01, 2.200000000000000178e+00, 7.500000000000000000e-01
1.338648648648648631e+00, 0.000000000000000000e+00, -7.500000000000000000e-01, 2.200000000000000178e+00, 1.000000000000000000e+00
1.338648648648648631e+00, -2.918168632186499134e-01, -6.910222877395499896e-01, 2.200000000000000178e+00, 1.250000000000000000e+00
1.338648648648648631e+00, -5.302261006387999354e-01, -5.302261006387998243e-01, 2.200000000000000178e+00, 1.500000000000000000e+00
1.338648648648648631e+00, -6.910222877395499896e-01, -2.918168632186498579e-01, 2.200000000000000178e+00, 1.750000000000000000e+00
1.338648648648648631e+00, -7.500000000000000000e-01, 0.000000000000000000e+00, 2.200000000000000178e+00, 2.000000000000000000e+00
1.338648648648648631e+00, -6.910222877395499896e-01, 2.918168632186498579e-01, 2.200000000000000178e+00, 2.250000000000000000e+00
1.338648648648648631e+00, -5.302261006387999354e-01, 5.302261006387998243e-01, 2.200000000000000178e+00, 2.500000000000000000e+00
1.338648648648648631e+00, -2.918168632186499134e-01, 6.910222877395499896e-01, 2.200000000000000178e+00, 2.750000000000000000e+00
1.338648648648648631e+00, 0.000000000000000000e+00, 7.500000000000000000e-01, 2.200000000000000178e+00, 3.000000000000000000e+00
1.338648648648648631e+00, 2.918168632186498579e-01, 6.910222877395499896e-01, 2.200000000000000178e+00, 3.250000000000000000e+00
1.338648648648648631e+00, 5.302261006387998243e-01, 5.302261006387998243e-01, 2.200000000000000178e+00, 3.500000000000000000e+00
1.338648648648648631e+00, 6.910222877395499896e-01, 2.918168632186498579e-01, 2.200000000000000178e+00, 3.750000000000000000e+00
1.338648648648648631e+00, 7.500000000000000000e-01, 0.000000000000000000e+00, 2.200000000000000178e+00, 4.000000000000000000e+00
1.595675675675675587e+00, 7.500000000000000000e-01, 0.000000000000000000e+00, 2.399999999999999911e+00, 0.000000000000000000e+00
1.595675675675675365e+00, 6.910222877395499896e-01, -2.918168632186498579e-01, 2.399999999999999911e+00, 2.500000000000000000e-01
1.595675675675675365e+00, 5.302261006387998243e-01, -5.302261006387998243e-01, 2.399999999999999911e+00, 5.000000000000000000e-01
1.595675675675675365e+00, 2.918168632186498579e-01, -6.910222877395499896e-01, 2.399999999999999911e+00, 7.500000000000000000e-01
1.595675675675675587e+00, 0.000000000000000000e+00, -7.500000000000000000e-01, 2.399999999999999911e+00, 1.000000000000000000e+00
1.595675675675675365e+00, -2.918168632186499134e-01, -6.910222877395499896e-01, 2.399999999999999911e+00, 1.250000000000000000e+00
1.595675675675675587e+00, -5.302261006387999354e-01, -5.302261006387998243e-01, 2.399999999999999911e+00, 1.500000000000000000e+00
1.595675675675675365e+00, -6.910222877395499896e-01, -2.918168632186498579e-01, 2.399999999999999911e+00, 1.750000000000000000e+00
1.595675675675675809e+00, -7.500000000000000000e-01, 0.000000000000000000e+00, 2.399999999999999911e+00, 2.000000000000000000e+00
1.595675675675675809e+00, -6.910222877395499896e-01, 2.918168632186498579e-01, 2.399999999999999911e+00, 2.250000000000000000e+00
1.595675675675675809e+00, -5.302261006387999354e-01, 5.302261006387998243e-01, 2.399999999999999911e+00, 2.500000000000000000e+00
1.595675675675675809e+00, -2.918168632186499134e-01, 6.910222877395499896e-01, 2.399999999999999911e+00, 2.750000000000000000e+00
1.595675675675675809e+00, 0.000000000000000000e+00, 7.500000000000000000e-01, 2.399999999999999911e+00, 3.000000000000000000e+00
1.595675675675675365e+00, 2.918168632186498579e-01, 6.910222877395499896e-01, 2.399999999999999911e+00, 3.250000000000000000e+00
1.595675675675675365e+00, 5.302261006387998243e-01, 5.302261006387998243e-01, 2.399999999999999911e+00, 3.500000000000000000e+00
1.595675675675675365e+00, 6.910222877395499896e-01, 2.918168632186498579e-01, 2.399999999999999911e+00, 3.750000000000000000e+00
1.595675675675675587e+00, 7.500000000000000000e-01, 0.000000000000000000e+00, 2.399999999999999911e+00, 4.000000000000000000e+00
1.846216216216216122e+00, 7.500000000000000000e-01, 0.000000000000000000e+00, 2.600000000000000089e+00, 0.000000000000000000e+00
1.846216216216216122e+00, 6.910222877395499896e-01, -2.918168632186498579e-01, 2.600000000000000089e+00, 2.500000000000000000e-01
1.846216216216216122e+00, 5.302261006387998243e-01, -5.302261006387998243e-01, 2.600000000000000089e+00, 5.000000000000000000e-01
1.846216216216216122e+00, 2.918168632186498579e-01, -6.910222877395499896e-01, 2.600000000000000089e+00, 7.500000000000000000e-01
1.846216216216216122e+00, 0.000000000000000000e+00, -7.500000000000000000e-01, 2.600000000000000089e+00, 1.000000000000000000e+00
1.846216216216216122e+00, -2.918168632186499134e-01, -6.910222877395499896e-01, 2.600000000000000089e+00, 1.250000000000000000e+00
1.846216216216216344e+00, -5.302261006387999354e-01, -5.302261006387998243e-01, 2.600000000000000089e+00, 1.500000000000000000e+00
1.846216216216216122e+00, -6.910222877395499896e-01, -2.918168632186498579e-01, 2.600000000000000089e+00, 1.750000000000000000e+00
1.846216216216216122e+00, -7.500000000000000000e-01, 0.000000000000000000e+00, 2.600000000000000089e+00, 2.000000000000000000e+00
1.846216216216216122e+00, -6.910222877395499896e-01, 2.918168632186498579e-01, 2.600000000000000089e+00, 2.250000000000000000e+00
1.846216216216216122e+00, -5.302261006387999354e-01, 5.302261006387998243e-01, 2.600000000000000089e+00, 2.500000000000000000e+00
1.846216216216216122e+00, -2.918168632186499134e-01, 6.910222877395499896e-01, 2.600000000000000089e+00, 2.750000000000000000e+00
1.846216216216216122e+00, 0.000000000000000000e+00, 7.500000000000000000e-01, 2.600000000000000089e+00, 3.000000000000000000e+00
1.846216216216216122e+00, 2.918168632186498579e-01, 6.910222877395499896e-01, 2.600000000000000089e+00, 3.250000000000000000e+00
1.846216216216216122e+00, 5.302261006387998243e-01, 5.302261006387998243e-01, 2.600000000000000089e+00, 3.500000000000000000e+00
1.846216216216216122e+00, 6.910222877395499896e-01, 2.918168632186498579e-01, 2.600000000000000089e+00, 3.750000000000000000e+00
1.846216216216216122e+00, 7.500000000000000000e-01, 0.000000000000000000e+00, 2.600000000000000089e+00, 4.000000000000000000e+00
2.070810810810810754e+00, 7.500000000000000000e-01, 0.000000000000000000e+00, 2.799999999999999822e+00, 0.000000000000000000e+00
2.070810810810810754e+00, 6.910222877395499896e-01, -2.918168632186498579e-01, 2.799999999999999822e+00, 2.500000000000000000e-01
2.070810810810810754e+00, 5.302261006387998243e-01, -5.302261006387998243e-01, 2.799999999999999822e+00, 5.000000000000000000e-01
2.070810810810810754e+00, 2.918168632186498579e-01, -6.910222877395499896e-01, 2.799999999999999822e+00, 7.500000000000000000e-01
2.070810810810810754e+00, 0.000000000000000000e+00, -7.500000000000000000e-01, 2.799999999999999822e+00, 1.000000000000000000e+00
2.070810810810810754e+00, -2.918168632186499134e-01, -6.910222877395499896e-01, 2.799999999999999822e+00, 1.250000000000000000e+00
2.070810810810810754e+00, -5.302261006387999354e-01, -5.302261006387998243e-01, 2.799999999999999822e+00, 1.500000000000000000e+00
2.070810810810810754e+00, -6.910222877395499896e-01, -2.918168632186498579e-01, 2.799999999999999822e+00, 1.750000000000000000e+00
2.070810810810810754e+00, -7.500000000000000000e-01, 0.000000000000000000e+00, 2.799999999999999822e+00, 2.000000000000000000e+00
2.070810810810810754e+00, -6.910222877395499896e-01, 2.918168632186498579e-01, 2.799999999999999822e+00, 2.250000000000000000e+00
2.070810810810810754e+00, -5.302261006387999354e-01, 5.302261006387998243e-01, 2.799999999999999822e+00, 2.500000000000000000e+00
2.070810810810810754e+00, -2.918168632186499134e-01, 6.910222877395499896e-01, 2.799999999999999822e+00, 2.750000000000000000e+00
2.070810810810810754e+00, 0.000000000000000000e+00, 7.500000000000000000e-01, 2.799999999999999822e+00, 3.000000000000000000e+00
2.070810810810810754e+00, 2.918168632186498579e-01, 6.910222877395499896e-01, 2.799999999999999822e+00, 3.250000000000000000e+00
2.070810810810810754e+00, 5.302261006387998243e-01, 5.302261006387998243e-01, 2.799999999999999822e+00, 3.500000000000000000e+00
2.070810810810810754e+00, 6.910222877395499896e-01, 2.918168632186498579e-01, 2.799999999999999822e+00, 3.750000000000000000e+00
2.070810810810810754e+00, 7.500000000000000000e-01, 0.000000000000000000e+00, 2.799999999999999822e+00, 4.000000000000000000e+00
2.250000000000000000e+00, 7.500000000000000000e-01, 0.000000000000000000e+00, 3.000000000000000000e+00, 0.000000000000000000e+00
2.250000000000000000e+00, 6.910222877395499896e-01, -2.918168632186498579e-01, 3.000000000000000000e+00, 2.500000000000000000e-01
2.250000000000000000e+00, 5.302261006387998243e-01, -5.302261006387998243e-01, 3.000000000000000000e+00, 5.000000000000000000e-01
2.250000000000000000e+00, 2.918168632186498579e-01, -6.910222877395499896e-01, 3.000000000000000000e+00, 7.500000000000000000e-01
2.250000000000000000e+00, 0.000000000000000000e+00, -7.500000000000000000e-01, 3.000000000000000000e+00, 1.000000000000000000e+00
2.250000000000000000e+00, -2.918168632186499134e-01, -6.910222877395499896e-01, 3.000000000000000000e+00, 1.250000000000000000e+00
2.250000000000000444e+00, -5.302261006387999354e-01, -5.302261006387998243e-01, 3.000000000000000000e+00, 1.500000000000000000e+00
2.250000000000000000e+00, -6.910222877395499896e-01, -2.918168632186498579e-01, 3.000000000000000000e+00, 1.750000000000000000e+00
2.250000000000000000e+00, -7.500000000000000000e-01, 0.000000000000000000e+00, 3.000000000000000000e+00, 2.000000000000000000e+00
2.250000000000000000e+00, -6.910222877395499896e-01, 2.918168632186498579e-01, 3.000000000000000000e+00, 2.250000000000000000e+00
2.250000000000000000e+00, -5.302261006387999354e-01, 5.302261006387998243e-01, 3.000000000000000000e+00, 2.500000000000000000e+00
2.250000000000000000e+00, -2.918168632186499134e-01, 6.910222877395499896e-01, 3.000000000000000000e+00, 2.750000000000000000e+00
2.250000000000000000e+00, 0.000000000000000000e+00, 7.500000000000000000e-01, 3.000000000000000000e+00, 3.000000000000000000e+00
2.250000000000000000e+00, 2.918168632186498579e-01, 6.910222877395499896e-01, 3.000000000000000000e+00, 3.250000000000000000e+00
2.250000000000000000e+00, 5.302261006387998243e-01, 5.302261006387998243e-01, 3.000000000000000000e+00, 3.500000000000000000e+00
2.250000000000000000e+00, 6.910222877395499896e-01, 2.918168632186498579e-01, 3.000000000000000000e+00, 3.750000000000000000e+00
2.250000000000000000e+00, 7.500000000000000000e-01, 0.000000000000000000e+00, 3.000000000000000000e+00, 4.000000000000000000e+00
2.399999999999999467e+00, 7.500000000000000000e-01, 0.000000000000000000e+00, 3.200000000000000178e+00, 0.000000000000000000e+00
2.399999999999999467e+00, 6.910222877395499896e-01, -2.918168632186498579e-01, 3.200000000000000178e+00, 2.500000000000000000e-01
2.399999999999999467e+00, 5.302261006387998243e-01, -5.302261006387998243e-01, 3.200000000000000178e+00, 5.000000000000000000e-01
2.399999999999999467e+00, 2.918168632186498579e-01, -6.910222877395499896e-01, 3.200000000000000178e+00, 7.500000000000000000e-01
2.399999999999999467e+00, 0.000000000000000000e+00, -7.500000000000000000e-01, 3.200000000000000178e+00, 1.000000000000000000e+00
2.399999999999999467e+00, -2.918168632186499134e-01, -6.910222877395499896e-01, 3.200000000000000178e+00, 1.250000000000000000e+00
2.400000000000000355e+00, -5.302261006387999354e-01, -5.302261006387998243e-01, 3.200000000000000178e+00, 1.500000000000000000e+00
2.399999999999999467e+00, -6.910222877395499896e-01, -2.918168632186498579e-01, 3.200000000000000178e+00, 1.750000000000000000e+00
2.399999999999999467e+00, -7.500000000000000000e-01, 0.000000000000000000e+00, 3.200000000000000178e+00, 2.000000000000000000e+00
2.399999999999999467e+00, -6.910222877395499896e-01, 2.918168632186498579e-01, 3.200000000000000178e+00, 2.250000000000000000e+00
2.399999999999999467e+00, -5.302261006387999354e-01, 5.302261006387998243e-01, 3.200000000000000178e+00, 2.500000000000000000e+00
