Results_Name,Projection
Results_Timestamp,1716794616
Results_Date,5,27,2024
Results_Time,16,23,36
Area,2.691605458697776676e+00
Comp_Areas,2.691605458697776676e+00
Comp_IDs,NCPNBBDQOZ
Comp_Names,WingGeom
Direction,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Mesh_GeomID,OWZANZGOBY
Path,1.800000000000000044e+00,1.399999860000000096e+00,-5.079191828965800432e-02,1.800000000000000044e+00,2.799999860000000229e+00,-4.716381828965800910e-02,1.800000000000000044e+00,4.200000000000000178e+00,-4.353585828965800958e-02,1.800000000000000044e+00,7.000000000000000888e+00,-3.627993828965801054e-02,1.800000000000000044e+00,7.000000000000000888e+00,1.146365617103420054e-01,1.800000000000000044e+00,6.999999860000000851e+00,1.167019817103420037e-01,1.800000000000000044e+00,6.999999860000000851e+00,1.175261617103419975e-01,1.800000000000000044e+00,2.799999860000000229e+00,1.527839017103420072e-01,1.800000000000000044e+00,1.399999860000000096e+00,1.645366217103420015e-01,1.800000000000000044e+00,0.000000000000000000e+00,1.762892017103420139e-01,1.800000000000000044e+00,-1.399999860000000096e+00,1.645366217103420015e-01,1.800000000000000044e+00,-2.799999860000000229e+00,1.527839017103420072e-01,1.800000000000000044e+00,-6.999999860000000851e+00,1.175261617103419975e-01,1.800000000000000044e+00,-7.000000000000000888e+00,1.146365617103420054e-01,1.800000000000000044e+00,-7.000000000000000888e+00,-3.627993828965801054e-02,1.800000000000000044e+00,-4.200000000000000178e+00,-4.353585828965800958e-02,1.800000000000000044e+00,-2.799999860000000229e+00,-4.716381828965800910e-02,1.800000000000000044e+00,-1.399999860000000096e+00,-5.079191828965800432e-02,1.800000000000000044e+00,0.000000000000000000e+00,-5.441987828965800383e-02,1.800000000000000044e+00,1.399999860000000096e+00,-5.079191828965800432e-02
Planar_Path,1.800000000000000044e+00,1.399999860000000096e+00,-5.079191828965800432e-02,1.800000000000000044e+00,2.799999860000000229e+00,-4.716381828965800910e-02,1.800000000000000044e+00,4.200000000000000178e+00,-4.353585828965800958e-02,1.800000000000000044e+00,7.000000000000000888e+00,-3.627993828965801054e-02,1.800000000000000044e+00,7.000000000000000888e+00,1.146365617103420054e-01,1.800000000000000044e+00,6.999999860000000851e+00,1.167019817103420037e-01,1.800000000000000044e+00,6.999999860000000851e+00,1.175261617103419975e-01,1.800000000000000044e+00,2.799999860000000229e+00,1.527839017103420072e-01,1.800000000000000044e+00,1.399999860000000096e+00,1.645366217103420015e-01,1.800000000000000044e+00,0.000000000000000000e+00,1.762892017103420139e-01,1.800000000000000044e+00,-1.399999860000000096e+00,1.645366217103420015e-01,1.800000000000000044e+00,-2.799999860000000229e+00,1.527839017103420072e-01,1.800000000000000044e+00,-6.999999860000000851e+00,1.175261617103419975e-01,1.800000000000000044e+00,-7.000000000000000888e+00,1.146365617103420054e-01,1.800000000000000044e+00,-7.000000000000000888e+00,-3.627993828965801054e-02,1.800000000000000044e+00,-4.200000000000000178e+00,-4.353585828965800958e-02,1.800000000000000044e+00,-2.799999860000000229e+00,-4.716381828965800910e-02,1.800000000000000044e+00,-1.399999860000000096e+00,-5.079191828965800432e-02,1.800000000000000044e+00,0.000000000000000000e+00,-5.441987828965800383e-02,1.800000000000000044e+00,1.399999860000000096e+00,-5.079191828965800432e-02
