...Wave Drag Slice...
Inlet Area: 0.000000
Exit Area: 0.000000

Theta:   0.00, Start:  -1.71, End:   8.39
Theta: 180.00, Start:  -1.41, End:  10.22
         0.00000000,          0.00000021
         0.05263158,          0.14224068
         0.10526316,          0.69570754
         0.15789474,          1.28307885
         0.21052632,          1.68720465
         0.26315789,          1.82144124
         0.31578947,          2.37198588
         0.36842105,          3.41787280
         0.42105263,          2.35548547
         0.47368421,          1.41713370
         0.52631579,          1.00749045
         0.57894737,          0.59244496
         0.63157895,          0.20476256
         0.68421053,          0.04573828
         0.73684211,          0.03802606
         0.78947368,          0.03103593
         0.84210526,          0.11771299
         0.89473684,          0.12838342
         0.94736842,          0.53921830
         1.00000000,          0.00117752

CDWave:          0.17659580 
Mach:          1.50000000 
Set Name: Shown 
