Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
WingGeom,43.183263,43.183263,2.599869,2.599869
Totals,43.183263,43.183263,2.599869,2.599869

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
WingGeom_S_Surf0,21.591631,21.591631
WingGeom_S_Surf1,21.591631,21.591631
